video_id,title,description,upload_date,duration,category_id,view_count,like_count,comment_count,video_status,definition,average_view_duration,subscribers_gained,subscribers_lost
mrf4zoEucME,types of Rank Pushers in CODM,#codm #shorts,2021-05-28T06:02:46Z,PT59S,20,541263,21352,1749,public,hd,48,958,131
W_PEo0cOrK0,Evolution of COD Games on Mobile,#codm #shorts,2021-11-08T09:42:38Z,PT38S,20,13674,707,126,public,hd,32,36,6
nofGNDtBuc8,Invisibility Glitch and its Counter (CODM),#codm #codmobile #shorts,2021-03-16T07:29:08Z,PT58S,20,756,55,19,public,hd,37,1,1
8URFgkpgoBQ,MOST annoying thing in CODM right now,,2023-02-06T11:06:13Z,PT57S,20,1909,94,29,public,hd,40,5,3
XgrRqFOXn8c,and you thought you were having a bad day,#codm #shorts,2021-05-26T06:12:09Z,PT37S,20,28264,2031,175,public,hd,31,59,10
opLhefVoY8g,PRO player uses FAN LOADOUT in GARENA WC?,#codm #shorts,2021-10-08T03:22:15Z,PT34S,20,20076,914,108,public,hd,30,90,14
3qFiiYh_iQ0,Type 25 Meta: 2019 vs 2021,#codm #shorts,2021-11-19T10:16:09Z,PT34S,20,31440,1459,285,public,hd,28,49,13
U92nIWugB3w,CODM is giving us FREE Lucky Draw Spin?,#codm #shorts,2021-11-26T00:32:54Z,PT35S,20,18302,653,403,public,hd,23,42,12
L2Lzp291-ak,explain this hunter killer drone,#codm #shorts,2021-05-12T08:38:40Z,PT18S,20,33325,1324,110,public,hd,16,97,6
nyPOsbvx1nA,this QQ9 gunsmith turns it into an AR,#codm #codmobile #callofdutymobile,2021-03-19T11:45:27Z,PT1M47S,20,806,62,20,public,hd,43,1,0
kSGoHn4V_FU,legendary skin death effect replicated for FREE?,#codm #shorts,2021-09-14T05:49:49Z,PT36S,20,37077,1497,156,public,hd,30,35,6
OWpC52uFbic,FREE REWARDS: China vs Global CODM,#codm #shorts,2021-10-11T08:33:46Z,PT35S,20,43933,2061,267,public,hd,31,106,15
pQvZ_kZL6lI,if the heartbeat sensor could talk in CODM,#codm #shorts,2021-05-27T14:48:02Z,PT33S,20,38320,2744,232,public,sd,22,58,11
wQlktxtDndQ,COPY your FRIENDS loadouts without asking them (S8 update),#codm #shorts,2021-09-21T15:17:58Z,PT37S,20,15827,757,127,public,hd,28,35,7
NS9T30WmOAc,when thermite doesn’t damage you at all?,#codm #shorts,2021-05-01T08:43:07Z,PT26S,20,69471,2836,178,public,hd,21,273,9
oseJCdHjnQg,how using Red Dot increases your accuracy x10,#codm #shorts,2021-10-12T04:02:16Z,PT47S,20,29944,1275,242,public,hd,36,47,9
2wfUzUNRJc8,how to reveal streamer mode user’s IGN,#codm #shorts,2021-10-20T05:12:48Z,PT35S,20,16188,633,64,public,hd,30,16,4
PmUNBM2SUe8,Indian Community after LaN Diss,#shorts #codm,2021-12-14T05:11:48Z,PT17S,20,22745,2162,765,public,hd,16,122,47
-Mn5fl66sWs,iFerg isn’t really quitting CODM (see this),#codm #shorts,2021-11-04T23:04:20Z,PT47S,20,27583,1527,168,public,hd,36,66,10
W7mjc7mwfKY,Can Maddox dethrone CBR?,,2023-03-12T07:13:43Z,PT1M42S,20,1545,97,40,public,hd,44,2,3
c13qz3gVvEw,win 99% of gunfights with these 3 tricks,#codm #shorts,2021-08-28T05:28:35Z,PT52S,20,25610,1517,183,public,hd,38,77,5
cbtC3kpmilc,PP-19 BIZON GUNSMITH for NUKES ☢️,#codm #codmobile #nuke,2021-04-19T05:56:33Z,PT3M1S,20,1515,95,26,public,hd,55,11,4
qjccr4cmRmM,Legendary Skin that looks exactly like an Epic Skin,#codm #shorts,2021-10-31T04:51:48Z,PT35S,20,48934,1975,219,public,hd,30,52,12
DYhIrburYHQ,every thermite spammer deserves this,#codm #shorts,2021-06-19T15:09:27Z,PT33S,20,56260,3521,303,public,hd,25,154,14
odEXHm6SxW0,when spawns help you spawn trap,#codm #shorts,2021-05-06T08:40:32Z,PT35S,20,55882,2422,100,public,hd,28,196,18
k3i0qfuyo1g,top 3 loadouts that will help you reach legendary ranked,#codm #shorts,2021-08-03T09:21:53Z,PT20S,20,14575,917,153,public,hd,17,62,6
przzqt5kiWE,iFerg said this is one of the worst BP skin of all time....,#codm #shorts,2021-10-24T05:04:19Z,PT41S,20,165592,6153,592,public,hd,35,218,26
oqODvIGPGEw,LOADOUTS that helped me reach LEGENDARY rank in CODM,#codm #shorts,2021-09-27T06:28:41Z,PT39S,20,228101,10458,1161,public,hd,32,1252,55
zDqhswOpaC8,How CBR Asia #2 plays against sweats,(Prod. theskybeats),2023-02-09T02:29:45Z,PT2M9S,20,9586,490,84,public,hd,75,112,7
o1OBXrvvh4k,ACCIDENTALLY NUKED A PRO PLAYER!!! (Legendary Ranked),"This is PrinceRez, I'm an ex-competitive COD Mobile player from India. 
I play on iPhone 8 plus, 4 finger gyro!
SUBSCRIBE for more nukesss!
FOLLOW: https://www.instagram.com/prince_rezzzzz/",2020-10-25T09:13:22Z,PT4M28S,24,944,82,22,public,hd,113,7,4
Lkv62mveKlo,weapon inspection came out early?,#codm #shorts,2021-10-21T04:46:18Z,PT39S,20,38766,1830,230,public,hd,27,68,9
xkFjcnp7e0o,quick maths,#codm #shorts,2021-05-18T16:05:44Z,PT38S,20,42640,2288,218,public,hd,32,128,8
SXbd7GEreic,evolution of seasonal LEGENDARY FRAMES,#codm #shorts,2021-09-17T05:29:01Z,PT37S,20,15977,648,240,public,hd,30,18,1
ao-CYW0b_wg,Solo Domination in 59 seconds,#codm #shorts,2021-06-09T05:47:09Z,PT59S,20,16524,1286,230,public,hd,49,70,7
q5KtuYVPQt4,How I get scorestreaks vs How my enemy gets,#codm #shorts,2021-11-24T09:25:34Z,PT40S,20,9896,559,118,public,hd,31,19,6
czZTI96EBxk,OLD vs NEW Final Killcam Comparison,#codm #shorts,2021-11-07T09:56:23Z,PT34S,20,334531,9676,556,public,hd,27,545,36
GlwEVZdMNYU,how rank tryhards make their loadout,#codm #shorts,2021-08-16T05:30:04Z,PT38S,20,54826,2395,271,public,hd,30,133,15
F4ZHGlaEyLY,how CODM buffed QXR,"#codm #shorts

Video Credits: Shad kinda funny 
Link: https://youtube.com/channel/UCbMt0TXpOmyW1ot65SXjwWQ",2021-06-26T07:17:45Z,PT36S,20,20362,2408,153,public,hd,30,112,15
NU0AiC4znnM,180 cp AGR or ICR?,#codm #shorts,2021-06-03T16:35:08Z,PT57S,20,16659,1063,188,public,hd,36,46,4
tgoyV87KFlg,every F2P player’s dream in CODM,#codm #shorts,2021-08-21T05:25:59Z,PT42S,20,60501,4250,807,public,hd,33,288,22
OTvpUAolRYQ,Legendary vs Default Thumper Comparison,#codm #shorts,2021-10-29T06:16:49Z,PT36S,20,76880,2303,323,public,hd,31,108,16
xxaRLqC4Fho,Legendary vs Base Melee Comparison,#codm #shorts,2021-10-30T10:46:27Z,PT37S,20,57306,2005,207,public,hd,32,72,16
0JpBvShCXFg,Legendary vs Default Swordfish Comparison,#codm #shorts,2021-11-02T03:29:18Z,PT39S,20,15044,695,102,public,hd,31,32,3
ZCzTr6xLS34,iFerg and his gf bump into his ex?,#codm #shorts,2021-09-08T15:51:00Z,PT37S,20,50365,2813,124,public,hd,31,89,10
_H3sfcdZnoU,SECRET skin that makes chicom OP,#codm #shorts,2021-05-15T16:20:37Z,PT55S,20,116048,4901,642,public,hd,35,503,34
bYiv0Z1dStU,explain how I survived here,#codm #shorts,2021-05-03T08:37:48Z,PT26S,20,84424,3731,339,public,hd,22,309,24
pBTpoXV6R-o,NEW Secondary Weapon that will destroy campers in CODM,#codm #shorts,2021-11-09T06:24:55Z,PT34S,20,132317,5209,702,public,hd,29,462,36
pbeUwud3KUY,bomb defused and still LOST!? please explain this CODM,#codm #shorts,2021-08-22T05:33:43Z,PT37S,20,25749,1598,217,public,hd,29,58,9
EgJF_enaEic,OG GHOST SKIN: Combat Master VS CODM,#codm #shorts,2021-10-26T10:55:48Z,PT35S,20,24227,1172,358,public,hd,27,32,7
r9hgFLR0IWw,how CODM stores data of NA-45 users,#codm #shorts,2021-05-01T16:06:32Z,PT21S,20,31097,1962,247,public,hd,17,275,18
L2Lzp291-ak,explain this hunter killer drone,#codm #shorts,2021-05-12T08:38:40Z,PT18S,20,33325,1324,110,public,hd,16,97,6
kbknFZDQqoY,first ever Grenade with a SILENCER in CODM,#codm #shorts,2021-11-10T10:44:16Z,PT35S,20,46303,2257,233,public,hd,30,95,11
ZYROc4OG8SY,CODM made these OG skins disappear?,#codm #shorts,2021-11-22T08:12:58Z,PT33S,20,10912,483,139,public,hd,26,17,2
3ayQdvD3g3Y,how CODM made this EPIC skin,#codm #shorts,2021-06-23T07:36:28Z,PT38S,20,446410,20903,574,public,hd,32,3165,126
F_kVD9TKKU0,had no idea what was about to happen,#codm #shorts,2021-05-13T08:57:08Z,PT16S,20,42529,2216,125,public,hd,16,120,12
Lcm9S8XCVy8,"if you died like this, would you report?",#codm #shorts,2021-05-14T16:23:29Z,PT15S,20,105983,4692,382,public,hd,14,305,24
G2Vhn2Vs6YE,teammates in group project,#codm #shorts,2021-05-16T16:25:32Z,PT24S,20,56053,2612,75,public,hd,20,120,12
BaZEWFj20W8,is Stopping Power Ammo on Type 25 required?,#codm #shorts,2021-11-17T11:01:45Z,PT42S,20,23190,888,110,public,hd,33,43,10
JoDiK5EzMaU,is M13 Morningstar secretly a high budget geometry skin?,#codm #shorts,2021-11-01T11:08:13Z,PT39S,20,61617,2178,215,public,hd,29,69,9
PEPcwxHh5NY,guess how much this trip mine costs,#codm #shorts,2021-06-18T15:54:47Z,PT34S,20,85055,3959,462,public,hd,29,354,27
ENBMgUcNvYg,3 things Combat Master has and CODM doesn’t,#codm #shorts,2021-10-26T04:05:21Z,PT47S,20,81361,3557,1082,public,hd,38,183,21
SXbd7GEreic,evolution of seasonal LEGENDARY FRAMES,#codm #shorts,2021-09-17T05:29:01Z,PT37S,20,15977,648,240,public,hd,30,18,1
IxncSrH47Zw,they said calling Goliath in spawn is safe,#codm #shorts,2021-05-04T08:32:27Z,PT21S,20,41724,1648,113,public,hd,19,261,16
GwRWBFLIiPU,secret AXE level up,#codm #shorts,2021-06-20T16:07:53Z,PT32S,20,46798,2153,288,public,hd,26,117,13
O_URdeePxvs,3 tips to help you reach LEGENDARY ranked faster in CODM,#codm #shorts,2021-09-28T05:26:59Z,PT39S,20,55685,2010,271,public,hd,30,203,17
BV7lnxCWGQg,only sticky grenade with a BLAST effect in CODM?,#codm #shorts,2021-10-27T10:06:40Z,PT35S,20,31379,1295,135,public,hd,27,30,6
MivODj-OLxw,75 FOV to 90 FOV sensitivity calculator,#codm #shorts,2021-07-29T06:47:21Z,PT24S,20,8220,530,122,public,hd,21,27,1
CUFUA2k1X_k,here’s why CODM loves anime,#codm #shorts,2021-10-10T04:53:24Z,PT37S,20,35904,1848,277,public,hd,29,68,17
2Ki8Wa_pO3c,evolution of MOVEMENT in 35 seconds,"#codm #shorts

BG credits: https://youtu.be/j-99BIsa7-s",2021-06-03T10:14:48Z,PT35S,20,34838,1719,166,public,hd,31,55,13
CjBv-gQoiWg,3 Skins in 1 Skin?,#codm #shorts,2021-11-12T11:07:38Z,PT35S,20,32335,1576,251,public,hd,28,64,12
ssdbKrqzsOo,they said no one spawn camps in domination,#codm #shorts,2021-05-30T16:40:18Z,PT47S,20,33992,1760,139,public,hd,39,63,7
lI-Fpz5STLQ,"CODM wants to be 18+, but isn’t really....",#codm #shorts,2021-10-23T11:28:07Z,PT34S,20,42448,1981,434,public,hd,32,57,16
0iyzzr4ob0k,5 most satisfying things to do in Ranked CODM,#codm #shorts,2021-11-06T09:53:36Z,PT47S,20,34975,1565,394,public,hd,38,103,17
W-SsfSyUv94,most used attachment in season 1 of CODM,#codm #shorts,2021-10-05T09:19:18Z,PT35S,20,15219,1064,149,public,hd,29,26,4
6KRwbSaYYec,don’t play CODM if you’re a simp like this,"#codm #shorts

Credits: RyanHiga",2021-06-17T15:33:10Z,PT35S,20,22582,1615,289,public,hd,28,70,12
w2JUDbSn8kE,NEW Feature that Reduces Lag in CODM,#codm #shorts,2021-11-16T11:16:44Z,PT37S,20,14318,666,139,public,hd,33,40,6
k3i0qfuyo1g,top 3 loadouts that will help you reach legendary ranked,#codm #shorts,2021-08-03T09:21:53Z,PT20S,20,14575,917,153,public,hd,17,62,6
JrsE7X5P0jQ,everyone needs to see these weapon inspections,#codm #shorts,2021-11-16T07:21:01Z,PT40S,20,37958,1645,188,public,hd,35,74,7
f7kOQVvHopY,ALL WEAPONS should have this FEATURE in CODM,#codm #shorts,2021-09-06T05:16:43Z,PT38S,20,21335,1127,315,public,hd,29,46,14
6Q5k2IyjFO8,"2 years ago on this day, something special happened...",#codm #shorts,2021-10-01T03:27:43Z,PT35S,20,11641,961,290,public,hd,31,22,6
WaAtwN6Vrfs,when you’re almost there but not quite,#codm #shorts,2021-04-30T08:11:34Z,PT37S,20,92445,3661,228,public,hd,31,232,18
8zA0pHxIQ5g,new $5 P2W Type25 skin is so OP,#codm #shorts,2021-06-02T13:59:33Z,PT54S,20,14999,930,188,public,hd,32,34,3
yVa-t9pgloU,the most impossible thing I’ve ever done in a deathmatch,#codm #shorts,2021-08-27T07:02:50Z,PT44S,20,14233,1067,176,public,hd,35,26,8
ypQ5X6RTU10,the story of Garena’s BEST player,#codm #shorts,2021-10-19T04:52:47Z,PT41S,20,9607,623,91,public,hd,35,17,8
tyzh5ELawDU,when BGMI gets released,#shorts #BGMI #codm,2021-06-18T06:48:58Z,PT56S,20,23719,1915,679,public,hd,42,52,5
E22-1RkaZU4,3 features you may have missed in the new update,#codm #shorts,2021-09-22T04:39:55Z,PT49S,20,19812,1043,97,public,hd,38,33,6
G87oyRJ74as,5 things CODM changed in the last 2 years,#codm #shorts,2021-09-20T11:39:29Z,PT59S,20,19480,1304,148,public,hd,50,28,4
xMpFX-7soNU,weapons that are ignored by CODM,#codm #shorts,2021-09-18T05:26:39Z,PT47S,20,21733,1148,387,public,hd,40,35,6
7IitrgbOa0U,he changed his gaming chair mid-game,#shorts #codm,2021-07-22T09:33:43Z,PT35S,20,12007,900,61,public,hd,32,31,6
h_31q3wHHkc,every Free2Play sniper’s dream,#codm #shorts,2021-09-01T05:44:28Z,PT46S,20,14668,1060,257,public,hd,32,75,10
CQAGL88SGrY,the worst situation to be in CODM?,#codm #shorts,2021-08-06T06:35:39Z,PT36S,20,7537,621,70,public,hd,31,26,3
H2fpnsDHAqg,no one noticed this character skin saying INAPPROPRIATE stuff!??,#codm #shorts,2021-09-02T07:20:52Z,PT35S,20,10966,1038,230,public,hd,29,22,8
dvl88DuJd5Q,how Dr. Disrespect got 1 million CP,#codm #shorts,2021-05-31T12:53:46Z,PT43S,20,66972,3648,163,public,hd,35,187,20
sdNuu5LVWKI,renetti makes opponents upsetti,#codm #shorts,2021-05-08T16:06:28Z,PT51S,20,45412,1906,284,public,hd,32,129,9
Id9T1jEKr_k,Respecting every Free2Play player,#codm #shorts,2021-09-08T06:07:39Z,PT59S,20,18883,1214,238,public,hd,37,60,9
OM6VDSOPhXk,top most saddest death in CODM history,#codm #shorts,2021-04-29T10:51:07Z,PT16S,20,4460,163,15,public,hd,14,4,0
p4ZWWTFolVg,when CODM removes the rename card,#codm #shorts,2021-06-15T16:00:49Z,PT45S,20,115977,5903,1270,public,hd,34,471,37
KmPDOQEN4jQ,every Free2Play player wants THIS to be back,"#codm #shorts

Clip Credits: SIGMA CODM",2021-10-06T08:40:19Z,PT35S,20,20744,1167,172,public,hd,29,38,7
TPE54pbvlVI,making iFerg moan while getting destroyed in S3 ranked,"#codm #shorts

@ICECODM new sound effect? 😂",2021-08-02T06:39:44Z,PT51S,20,10460,852,88,public,hd,40,30,5
OVhUWWy0gf0,when you get the fastest 4K ever? (2s),#shorts #codm,2021-04-27T16:36:55Z,PT7S,20,11558,466,34,public,hd,7,10,1
OVhUWWy0gf0,when you get the fastest 4K ever? (2s),#shorts #codm,2021-04-27T16:36:55Z,PT7S,20,11558,466,34,public,hd,7,10,1
zEikXUPY9f4,remember when SNIPERS could do this? 😳,#codm #shorts,2021-10-15T06:53:46Z,PT34S,20,36651,2116,546,public,hd,28,99,10
-AMlEdn1M2g,why doesn’t my server have this feature!?,#codm #shorts,2021-10-18T07:03:55Z,PT35S,20,14084,740,178,public,hd,28,34,14
fmWXfskQmds,Pay 2 Get Scammed Bundle,#codm #shorts,2021-10-28T04:19:27Z,PT51S,20,157341,7108,520,public,hd,39,359,47
i5625yxEPR0,NETFLIX in CODM?,#codm #shorts,2021-10-11T04:32:46Z,PT38S,20,10744,654,104,public,hd,25,16,13
ajxgbcV_1Aw,from pay2win to free2win to forgotten,#codm #shorts,2021-08-20T05:29:57Z,PT53S,20,73754,3146,307,public,hd,35,248,15
C37JgIAEo7Q,how CODM devs nerfed NA-45,#codm #shorts,2021-05-22T08:46:09Z,PT30S,20,71298,4022,245,public,hd,26,301,19
eDjqE0DN3Hw,only legends will remember this (CHILLS ALERT),#codm #shorts,2021-06-05T09:27:57Z,PT59S,20,23668,1689,192,public,hd,49,57,9
F4zKyACuRGc,0.001% chance of this happening,#codm #shorts,2021-05-17T16:22:20Z,PT27S,20,95167,3892,583,public,hd,24,232,23
qWj1JWo6tvM,back when RARE BP skins blew your mind...,#codm #shorts,2021-10-28T11:34:25Z,PT34S,20,43514,2021,264,public,hd,27,80,13
przd8y8HPUo,when you hit the most insane pistol collat ever,#codm #shorts,2021-05-08T08:30:02Z,PT15S,20,112114,2870,145,public,hd,14,334,16
taL6Qkz3xRY,BullCharge or BulliedCharge?,#codm #shorts,2021-05-07T16:04:08Z,PT13S,20,69477,3066,143,public,hd,11,509,36
abzEFAPN8XE,every CODM player today,#codm #shorts,2021-07-16T07:11:25Z,PT11S,20,8280,821,86,public,sd,9,9,7
p0NmoaSOpRI,he thought I was done fake planting the bomb,#codm #shorts,2021-07-27T07:52:50Z,PT17S,20,6347,548,61,public,hd,16,3,3
